Fecha,Producto,Cantidad,Precio_unitario
2025-11-18,Té,3,3560
2025-11-21,Queso,1,2746
2025-11-28,Pan,9,1160
2025-11-23,Queso,4,2842
2025-12-01,Arepa,8,1902
2025-11-29,Arepa,5,2866
2025-11-16,Arepa,1,3185
2025-11-08,Mantequilla,7,4058
2025-11-14,Galletas,7,2927
2025-11-11,Té,6,1085
2025-11-13,Leche,2,3181
2025-11-27,Galletas,4,1335
2025-11-10,Pan,2,1259
2025-11-16,Galletas,8,4701
2025-12-01,Queso,6,3640
2025-11-26,Té,1,1721
2025-11-18,Café,1,2429
2025-11-23,Café,9,2200
2025-11-19,Galletas,9,1347
2025-11-16,Galletas,4,4592
2025-11-12,Mantequilla,10,2916
2025-11-12,Yogurt,3,1026
2025-11-06,Queso,4,3385
2025-11-06,Pan,4,4677
2025-11-05,Chocolate,9,1290
2025-11-21,Pan,2,3270
2025-11-07,Té,8,2472
2025-11-11,Queso,5,3569
2025-11-17,Mantequilla,7,1432
2025-11-17,Mantequilla,3,4253
2025-11-27,Pan,9,2407
2025-11-09,Queso,2,3304
2025-11-22,Galletas,4,3453
2025-11-27,Mantequilla,2,1297
2025-11-17,Té,7,3494
2025-11-22,Té,7,4895
2025-12-01,Yogurt,10,4247
2025-11-17,Arepa,9,2206
2025-11-18,Leche,2,3365
2025-11-16,Pan,9,3948
2025-11-13,Mantequilla,10,2962
2025-11-26,Café,7,4399
2025-11-30,Arepa,1,4406
2025-11-22,Chocolate,5,4753
2025-11-29,Té,3,2403
2025-11-26,Galletas,2,2773
2025-11-24,Café,9,3451
2025-11-25,Queso,8,4309
2025-11-06,Leche,3,1913
2025-11-22,Leche,7,1262
2025-11-20,Café,4,1486
2025-11-22,Galletas,9,4783
2025-11-03,Chocolate,4,1970
2025-11-22,Café,2,4997
2025-11-15,Pan,4,4174
2025-11-13,Café,10,3336
2025-11-15,Yogurt,9,1353
2025-11-27,Galletas,8,1336
2025-11-17,Leche,10,3027
2025-11-20,Queso,1,2857
2025-11-30,Pan,2,1999
2025-11-30,Galletas,6,4197
2025-11-29,Leche,5,1071
2025-11-21,Arepa,1,1961
2025-11-25,Pan,7,4645
2025-11-26,Mantequilla,3,1728
2025-11-28,Yogurt,5,3736
2025-11-04,Arepa,6,3263
2025-11-21,Queso,10,2099
2025-11-16,Yogurt,10,2381
2025-11-05,Queso,8,2167
2025-11-28,Galletas,4,2192
2025-11-03,Arepa,4,3533
2025-11-13,Café,7,1996
2025-11-10,Yogurt,1,3295
2025-11-23,Chocolate,4,4572
2025-11-04,Queso,6,3519
2025-11-30,Yogurt,5,4325
2025-11-23,Galletas,7,1565
2025-11-17,Galletas,5,1687
2025-11-02,Pan,4,3134
2025-11-24,Leche,7,3862
2025-11-23,Pan,5,1705
2025-11-13,Té,9,1601
2025-11-18,Café,5,1027
2025-11-30,Café,4,2858
2025-11-16,Té,3,1258
2025-11-30,Café,9,3940
2025-11-17,Mantequilla,4,3143
2025-11-07,Yogurt,7,4103
2025-11-16,Café,2,3630
2025-11-08,Pan,2,4280
2025-11-05,Arepa,5,4281
2025-11-05,Queso,4,2164
